Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score,Arquetipo victoria,Arquetipo derrota
Pegasus Blast Free,9-60,Free Ball,57.14,4.0,3.0,7,1.25,1.33,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Free,9-60,Hexa,52.08,25.0,23.0,48,1.36,1.61,0.3832899563598437,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Free,9-60,Level,100.0,7.0,0.0,7,1.14,0.0,0.6456611570247934,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Free,9-70,Unite,60.0,6.0,4.0,10,1.0,2.0,0.3126695474501863,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Heavy,3-60,Flat,66.67,2.0,1.0,3,2.0,1.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Heavy,3-60,Jolt,70.0,21.0,9.0,30,1.57,1.56,0.5212387898833981,🟠 Burst / Over,🟠 Pierde por burst/over
Pegasus Blast Heavy,3-60,Rush,50.0,2.0,2.0,4,2.0,2.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Heavy,5-60,Kick,50.0,2.0,2.0,4,1.5,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Heavy,7-60,Level,54.55,6.0,5.0,11,1.33,1.6,0.2800877556899882,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Heavy,9-60,Jolt,50.0,4.0,4.0,8,1.25,1.25,0.2152125268244419,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Heavy,9-60,Kick,55.56,5.0,4.0,9,2.0,1.25,0.2666473457440296,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Heavy,9-60,Low Rush,58.82,10.0,7.0,17,1.6,1.57,0.3600507438551554,🟠 Burst / Over,🟠 Pierde por burst/over
Pegasus Blast Heavy,9-60,Rush,58.33,7.0,5.0,12,2.14,1.2,0.3195073356553728,🟠 Burst / Over,🔵 Pierde por spin
Pegasus Blast Heavy,9-60,Taper,20.0,1.0,4.0,5,1.0,1.0,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Jaggy,3-60,Kick,44.44,4.0,5.0,9,1.0,1.8,0.188775429471914,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Jaggy,3-60,Low Rush,20.0,1.0,4.0,5,1.0,1.5,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Jaggy,9-60,Level,40.0,2.0,3.0,5,2.0,2.0,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Jaggy,9-60,Low Rush,50.0,3.0,3.0,6,2.0,1.67,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Slash,3-60,Low Rush,25.0,1.0,3.0,4,3.0,2.0,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Slash,3-60,Rush,50.0,2.0,2.0,4,2.5,1.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Slash,7-60,Level,54.55,6.0,5.0,11,1.33,2.0,0.2800877556899882,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Wheel,3-60,Kick,50.0,5.0,5.0,10,1.6,1.4,0.2365895936154873,🟠 Burst / Over,🔵 Pierde por spin
Pegasus Blast Wheel,3-60,Level,58.33,7.0,5.0,12,1.71,1.8,0.3195073356553728,🟠 Burst / Over,🟠 Pierde por burst/over
Pegasus Blast Wheel,3-60,Low Rush,55.56,15.0,12.0,27,1.47,1.5,0.3731271947957688,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Wheel,5-60,Hexa,50.0,2.0,2.0,4,1.0,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Wheel,6-80,Taper,50.0,3.0,3.0,6,1.67,1.33,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Wheel,7-60,Kick,50.0,2.0,2.0,4,2.5,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Wheel,7-60,Unite,50.0,2.0,2.0,4,2.0,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Wheel,9-60,Free Ball,92.86,13.0,1.0,14,1.15,2.0,0.6853073044604219,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Wheel,9-60,Hexa,71.43,10.0,4.0,14,1.4,1.5,0.4535045882751561,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Wheel,9-60,Kick,70.59,12.0,5.0,17,1.75,1.2,0.468664666737861,🟠 Burst / Over,🔵 Pierde por spin
Pegasus Blast Wheel,9-60,Level,55.81,24.0,19.0,43,1.54,1.32,0.4110735806551172,🟠 Burst / Over,🔵 Pierde por spin
Pegasus Blast Wheel,9-60,Rush,60.0,3.0,2.0,5,1.33,2.0,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Pegasus Blast Wheel,9-60,Taper,50.0,10.0,10.0,20,1.3,1.9,0.2992949144298199,🔵 Spin finish,🟠 Pierde por burst/over
Pegasus Blast Wheel,9-60,Unite,45.0,9.0,11.0,20,1.56,1.36,0.2581950208570929,🟠 Burst / Over,🔵 Pierde por spin
Perseus Dark Bumper,5-60,Hexa,50.0,1.0,1.0,2,1.0,2.0,0.0945286548008661,⚪ Datos insuficientes,⚪ Datos insuficientes
Perseus Dark Bumper,9-60,Ball,0.0,0.0,1.0,1,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Perseus Dark Bumper,9-60,Hexa,100.0,1.0,0.0,1,3.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Feather,3-60,Level,42.86,3.0,4.0,7,1.67,2.0,0.1582169222626268,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Feather,9-70,Glide,57.14,4.0,3.0,7,1.0,1.67,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Flare Heavy,3-60,Level,100.0,3.0,0.0,3,1.67,0.0,0.4384939195509822,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Flare Vertical,5-60,Level,0.0,0.0,3.0,3,0.0,1.33,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Flare Wheel,9-60,Jolt,50.0,4.0,4.0,8,1.5,1.5,0.2152125268244419,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Rudder,7-60,Level,33.33,1.0,2.0,3,2.0,1.5,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Rudder,7-60,Taper,33.33,2.0,4.0,6,1.5,1.0,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Rudder,9-60,Low Rush,66.67,2.0,1.0,3,1.5,1.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Rudder,9-60,Taper,60.0,3.0,2.0,5,2.33,2.5,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,1-60,Hexa,70.59,12.0,5.0,17,1.75,1.8,0.468664666737861,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,1-60,Level,50.0,2.0,2.0,4,2.0,1.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,1-60,Low Rush,51.85,28.0,26.0,54,1.82,1.31,0.3885147504846543,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,1-60,Point,40.0,4.0,6.0,10,1.75,1.5,0.1681775812035096,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,1-60,Rush,54.92,173.0,142.0,315,1.83,1.45,0.4939935888141,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,1-60,Taper,55.56,5.0,4.0,9,1.2,1.25,0.2666473457440296,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,1-70,Kick,42.86,3.0,4.0,7,1.33,1.75,0.1582169222626268,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,1-70,Level,50.0,1.0,1.0,2,3.0,2.0,0.0945286548008661,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,1-70,Rush,25.0,2.0,6.0,8,2.0,1.67,0.0714776888580276,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,1-80,Rush,33.33,2.0,4.0,6,2.0,1.0,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,3-60,Ball,0.0,0.0,1.0,1,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,3-60,Flat,52.38,11.0,10.0,21,1.82,1.1,0.3236921790026675,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,3-60,Hexa,50.0,2.0,2.0,4,2.0,1.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,3-60,Level,83.33,5.0,1.0,6,2.2,1.0,0.4364905634363539,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,3-60,Low Rush,56.0,14.0,11.0,25,1.64,1.82,0.3706701701956443,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,3-60,Orb,87.5,7.0,1.0,8,1.14,2.0,0.5291051942301385,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,3-60,Point,55.56,10.0,8.0,18,1.9,1.5,0.3371606942825162,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,3-60,Rush,61.96,171.0,105.0,276,1.885,1.705,0.5610170389285237,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,3-60,Taper,52.94,36.0,32.0,68,1.53,1.56,0.4124071581374706,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,3-60,Trans Kick,83.33,5.0,1.0,6,2.0,2.0,0.4364905634363539,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,3-60,Under Needle,0.0,0.0,2.0,2,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,3-70,Hexa,70.0,7.0,3.0,10,1.14,1.67,0.3967732199795652,🔵 Spin finish,🟠 Pierde por burst/over
Phoenix Wing,3-80,Taper,25.0,1.0,3.0,4,2.0,1.33,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,4-60,Flat,50.0,9.0,9.0,18,2.11,1.44,0.2903070395897999,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,4-60,Taper,60.0,3.0,2.0,5,2.0,1.0,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,Dot,57.14,4.0,3.0,7,1.25,1.67,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,Flat,70.0,21.0,9.0,30,1.62,1.11,0.5212387898833981,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,5-60,Gear Needle,25.0,1.0,3.0,4,2.0,1.67,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,Gear Point,0.0,0.0,3.0,3,0.0,1.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,Hexa,57.14,4.0,3.0,7,2.25,1.67,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,High Taper,28.57,2.0,5.0,7,2.5,2.0,0.0822171657090155,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,Kick,25.0,1.0,3.0,4,1.0,1.0,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,Level,75.0,3.0,1.0,4,1.33,1.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,5-60,Point,45.26,43.0,52.0,95,1.72,1.37,0.3563260915726526,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,5-60,Rush,51.06,24.0,23.0,47,1.54,1.43,0.3724221758937288,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,5-60,Taper,56.76,21.0,16.0,37,1.62,1.56,0.4091390633420071,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,5-60,Unite,50.0,6.0,6.0,12,0.5,2.5,0.2537781703934222,🔵 Spin finish,🟢 Pierde por xtreme
Phoenix Wing,5-80,Unite,66.67,4.0,2.0,6,1.75,1.0,0.2999883213415286,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,6-60,Level,50.0,3.0,3.0,6,1.0,1.33,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,6-60,Rush,100.0,1.0,0.0,1,3.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,7-60,High Taper,57.14,4.0,3.0,7,1.75,2.0,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,7-60,Low Rush,55.0,11.0,9.0,20,1.82,1.56,0.3420820083075996,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,7-60,Point,80.0,4.0,1.0,5,1.5,3.0,0.3755282641185388,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,7-60,Rush,56.41,22.0,17.0,39,1.64,1.47,0.4097542347452211,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,7-70,Low Rush,63.64,7.0,4.0,11,1.29,2.0,0.3537967768916372,🔵 Spin finish,🟠 Pierde por burst/over
Phoenix Wing,7-70,Under Flat,50.0,3.0,3.0,6,2.33,1.33,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,9-60,Ball,50.0,11.0,11.0,22,1.09,1.55,0.3072180469247956,🔵 Spin finish,🟠 Pierde por burst/over
Phoenix Wing,9-60,Cyclone,66.67,6.0,3.0,9,1.67,1.67,0.3541973474990897,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,9-60,Gear Flat,58.62,17.0,12.0,29,2.06,1.5,0.4073752847851524,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,9-60,Hexa,70.0,7.0,3.0,10,1.29,2.0,0.3967732199795652,🔵 Spin finish,🟠 Pierde por burst/over
Phoenix Wing,9-60,Low Orb,50.0,4.0,4.0,8,1.5,1.25,0.2152125268244419,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,9-60,Low Rush,36.36,4.0,7.0,11,1.75,1.0,0.1516622361413138,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,9-60,Orb,25.0,5.0,15.0,20,1.6,1.33,0.111860052789403,🟠 Burst / Over,🔵 Pierde por spin
Phoenix Wing,9-60,Point,71.43,5.0,2.0,7,1.6,2.5,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Phoenix Wing,9-60,Rush,61.29,38.0,24.0,62,1.68,1.67,0.4884761620578099,🟠 Burst / Over,🟠 Pierde por burst/over
Phoenix Wing,9-60,Taper,57.14,24.0,18.0,42,1.83,1.56,0.4220597791187447,🟠 Burst / Over,🟠 Pierde por burst/over
Ptera Swing,1-80,Gear Flat,33.33,1.0,2.0,3,1.0,2.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Ptera Swing,1-80,Point,33.33,2.0,4.0,6,1.0,1.0,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Ptera Swing,3-80,Taper,50.0,2.0,2.0,4,1.5,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Ptera Swing,7-60,Ball,33.33,1.0,2.0,3,2.0,1.5,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,1-60,Gear Flat,0.0,0.0,1.0,1,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,3-80,Spike,16.67,1.0,5.0,6,2.0,1.6,0.0300525858717302,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,4-60,Taper,37.5,3.0,5.0,8,1.0,0.8,0.136841759461521,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,5-60,Accel,85.71,6.0,1.0,7,2.17,1.0,0.4868654966809702,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,5-60,Gear Point,33.33,1.0,2.0,3,2.0,2.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,5-60,High Taper,33.33,1.0,2.0,3,1.0,1.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,5-60,Level,50.0,1.0,1.0,2,3.0,2.0,0.0945286548008661,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,7-60,Hexa,66.67,2.0,1.0,3,1.0,2.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Rhino Horn,7-60,Taper,0.0,0.0,1.0,1,0.0,1.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,1-60,Rush,40.0,2.0,3.0,5,2.0,1.33,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,3-60,Flat,33.33,1.0,2.0,3,1.0,1.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,3-60,Rush,55.56,5.0,4.0,9,2.6,1.0,0.2666473457440296,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,5-60,Ball,75.0,3.0,1.0,4,1.33,2.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,5-60,Orb,71.43,5.0,2.0,7,1.4,2.5,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,5-60,Point,70.0,7.0,3.0,10,1.29,1.67,0.3967732199795652,🔵 Spin finish,🟠 Pierde por burst/over
Roar Tyranno,9-60,Ball,0.0,0.0,3.0,3,0.0,1.33,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,9-60,Flat,100.0,1.0,0.0,1,2.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Roar Tyranno,9-60,Level,71.43,5.0,2.0,7,2.2,1.0,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Calibur,1-60,Hexa,40.0,4.0,6.0,10,1.5,1.33,0.1681775812035096,🟠 Burst / Over,🔵 Pierde por spin
Samurai Calibur,1-60,Low Orb,55.56,35.0,28.0,63,1.49,1.68,0.4331942064087128,🔵 Spin finish,🟠 Pierde por burst/over
Samurai Calibur,1-60,Low Rush,60.0,9.0,6.0,15,1.22,1.33,0.357464427565077,🔵 Spin finish,🔵 Pierde por spin
Samurai Calibur,1-70,Low Rush,45.45,5.0,6.0,11,1.8,1.83,0.2127095754398804,🟠 Burst / Over,🟠 Pierde por burst/over
Samurai Calibur,3-60,Wall Ball,50.0,2.0,2.0,4,1.0,3.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Calibur,6-60,Low Rush,20.0,1.0,4.0,5,1.0,1.5,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Calibur,9-60,Rush,42.86,3.0,4.0,7,2.0,1.5,0.1582169222626268,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,1-60,Hexa,0.0,0.0,1.0,1,0.0,1.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,2-70,Level,25.0,1.0,3.0,4,1.0,1.33,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,3-60,Cyclone,50.0,3.0,3.0,6,1.67,2.0,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,3-60,Free Ball,25.0,2.0,6.0,8,1.0,1.33,0.0714776888580276,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,3-60,Wedge,50.0,3.0,3.0,6,1.67,1.0,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,4-60,Hexa,0.0,0.0,1.0,1,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,4-80,Level,66.67,2.0,1.0,3,2.0,2.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,5-60,Ball,100.0,1.0,0.0,1,2.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,5-60,Free Ball,20.0,1.0,4.0,5,1.0,1.25,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,5-60,Hexa,78.57,11.0,3.0,14,1.36,1.0,0.5241027622679172,🔵 Spin finish,🔵 Pierde por spin
Samurai Saber,5-60,Level,50.0,4.0,4.0,8,1.5,2.5,0.2152125268244419,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,7-60,Hexa,60.0,3.0,2.0,5,1.33,2.0,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,7-60,Level,25.0,1.0,3.0,4,1.0,1.67,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,7-70,Level,0.0,0.0,1.0,1,0.0,1.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,9-60,Elevate,66.67,2.0,1.0,3,1.5,2.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,9-60,Free Ball,55.56,5.0,4.0,9,1.6,1.5,0.2666473457440296,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,9-60,Hexa,100.0,1.0,0.0,1,1.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,9-60,Level,33.33,2.0,4.0,6,2.0,1.25,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,9-60,Needle,0.0,0.0,1.0,1,0.0,1.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,9-60,Orb,100.0,2.0,0.0,2,2.5,0.0,0.3423719528896193,⚪ Datos insuficientes,⚪ Datos insuficientes
Samurai Saber,9-60,Wedge,55.56,5.0,4.0,9,0.4,0.5,0.2666473457440296,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,0-70,Wedge,50.0,2.0,2.0,4,1.0,2.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,1-60,Low Rush,75.0,3.0,1.0,4,1.33,1.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,1-60,Rush,60.0,6.0,4.0,10,1.33,1.0,0.3126695474501863,🔵 Spin finish,🔵 Pierde por spin
Scorpio Spear,3-60,Free Ball,100.0,1.0,0.0,1,2.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,3-60,Gear Ball,70.0,7.0,3.0,10,1.29,2.0,0.3967732199795652,🔵 Spin finish,🟠 Pierde por burst/over
Scorpio Spear,3-60,Jolt,75.0,6.0,2.0,8,1.67,2.5,0.4092698791025891,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,3-60,Point,50.0,3.0,3.0,6,1.165,0.5,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,3-70,Unite,50.0,3.0,3.0,6,2.33,2.0,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,5-60,Free Ball,60.0,3.0,2.0,5,1.33,1.5,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,5-60,Hexa,33.33,2.0,4.0,6,1.0,1.0,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,7-60,Wedge,57.14,4.0,3.0,7,1.0,1.0,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,7-70,Hexa,75.0,3.0,1.0,4,1.67,1.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,9-60,Free Ball,66.67,10.0,5.0,15,1.2,1.4,0.4171312515121298,🔵 Spin finish,🔵 Pierde por spin
Scorpio Spear,9-60,Hexa,42.86,3.0,4.0,7,1.33,1.5,0.1582169222626268,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,9-60,Low Orb,69.0,69.0,31.0,100,1.4300000000000002,1.5950000000000002,0.5937376052204429,🔵 Spin finish,🟠 Pierde por burst/over
Scorpio Spear,9-60,Point,50.0,6.0,6.0,12,1.33,1.0,0.2537781703934222,🔵 Spin finish,🔵 Pierde por spin
Scorpio Spear,9-60,Wedge,40.0,2.0,3.0,5,1.0,2.0,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Scorpio Spear,9-80,Low Orb,72.73,8.0,3.0,11,1.13,2.0,0.4343497069897538,🔵 Spin finish,🟠 Pierde por burst/over
Shark Scale,1-50,Jolt,75.0,3.0,1.0,4,2.0,2.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-50,Low Rush,51.72,15.0,14.0,29,1.8,1.14,0.3443073797056916,🟠 Burst / Over,🔵 Pierde por spin
Shark Scale,1-60,Ball,83.33,5.0,1.0,6,1.0,2.0,0.4364905634363539,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-60,Free Ball,66.67,4.0,2.0,6,1.0,2.0,0.2999883213415286,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-60,Kick,20.0,1.0,4.0,5,1.0,1.25,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-60,Low Rush,56.1,23.0,18.0,41,1.57,1.44,0.410402651517573,🟠 Burst / Over,🔵 Pierde por spin
Shark Scale,1-60,Rush,69.23,18.0,8.0,26,1.83,1.38,0.5001138848576876,🟠 Burst / Over,🔵 Pierde por spin
Shark Scale,1-70,Free Ball,88.89,8.0,1.0,9,1.75,1.0,0.5649937852319398,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-70,Jolt,68.83,53.0,24.0,77,1.75,1.42,0.577997545591292,🟠 Burst / Over,🔵 Pierde por spin
Shark Scale,1-70,Kick,75.0,27.0,9.0,36,1.48,1.89,0.5892923231679658,🔵 Spin finish,🟠 Pierde por burst/over
Shark Scale,1-70,Low Orb,83.33,5.0,1.0,6,1.4,2.0,0.4364905634363539,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-70,Low Rush,63.67,163.0,93.0,256,1.8,1.48,0.5761839137959475,🟠 Burst / Over,🔵 Pierde por spin
Shark Scale,1-70,Rush,75.0,6.0,2.0,8,2.0,1.0,0.4092698791025891,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-70,Under Flat,0.0,0.0,4.0,4,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Shark Scale,1-80,Rush,63.16,12.0,7.0,19,2.33,1.29,0.4103915749815671,🟠 Burst / Over,🔵 Pierde por spin
Shark Scale,3-60,Free Ball,66.09,76.0,39.0,115,1.55,1.69,0.5703943230468682,🟠 Burst / Over,🟠 Pierde por burst/over
Shark Scale,3-60,Jolt,68.29,28.0,13.0,41,1.61,1.38,0.5301551434425416,🟠 Burst / Over,🔵 Pierde por spin
